코드,일정,구분,크루즈,종류,금액,시작일자,끝일자,비고,별도요금
R0090,2박3일,성인,그랜드 파이어니스,펄 스위트,"21,800,000",2025-05-01,2025-08-29,일반요금,
R0091,2박3일,성인,그랜드 파이어니스,더 시그니쳐 스위트,"23,200,000",2025-05-01,2025-08-29,베트남동,
R0092,2박3일,성인,그랜드 파이어니스,더 시그니쳐 스위트,"23,900,000",2025-05-01,2025-08-29,일반요금,
R0093,2박3일,성인,그랜드 파이어니스,더 프레지던트 스위트,"49,000,000",2025-05-01,2025-08-29,베트남동,
R0094,2박3일,성인,그랜드 파이어니스,더 프레지던트 스위트,"49,700,000",2025-05-01,2025-08-29,일반요금,
R0095,2박3일,싱글차지,그랜드 파이어니스,오션스위트,"15,500,000",2025-05-01,2025-08-29,베트남동,
R0096,2박3일,싱글차지,그랜드 파이어니스,오션발코니 스위트,"15,500,000",2025-05-01,2025-08-29,베트남동,
R0097,2박3일,싱글차지,그랜드 파이어니스,오션스위트,"15,900,000",2025-05-01,2025-08-29,일반요금,
R0098,2박3일,싱글차지,그랜드 파이어니스,오션발코니 스위트,"15,900,000",2025-05-01,2025-08-29,일반요금,
R0099,2박3일,싱글차지,그랜드 파이어니스,베란다 스위트,"19,300,000",2025-05-01,2025-08-29,베트남동,
R0100,2박3일,싱글차지,그랜드 파이어니스,베란다 스위트,"19,700,000",2025-05-01,2025-08-29,일반요금,
R0101,2박3일,싱글차지,그랜드 파이어니스,이그제큐티브 스위트,"21,300,000",2025-05-01,2025-08-29,베트남동,
R0102,2박3일,싱글차지,그랜드 파이어니스,이그제큐티브 스위트,"21,800,000",2025-05-01,2025-08-29,일반요금,
R0103,2박3일,싱글차지,그랜드 파이어니스,더 에센스 스위트,"29,000,000",2025-05-01,2025-08-29,베트남동,
R0104,2박3일,싱글차지,그랜드 파이어니스,더 에센스 스위트,"29,700,000",2025-05-01,2025-08-29,일반요금,
R0105,2박3일,싱글차지,그랜드 파이어니스,펄 스위트,"31,800,000",2025-05-01,2025-08-29,베트남동,
R0106,2박3일,싱글차지,그랜드 파이어니스,펄 스위트,"32,650,000",2025-05-01,2025-08-29,일반요금,
R0107,2박3일,싱글차지,그랜드 파이어니스,더 시그니쳐 스위트,"34,800,000",2025-05-01,2025-08-29,베트남동,
R0108,2박3일,싱글차지,그랜드 파이어니스,더 시그니쳐 스위트,"35,900,000",2025-05-01,2025-08-29,일반요금,
R0109,2박3일,싱글차지,그랜드 파이어니스,더 프레지던트 스위트,"72,500,000",2025-05-01,2025-08-29,베트남동,
R0110,2박3일,싱글차지,그랜드 파이어니스,더 프레지던트 스위트,"74,200,000",2025-05-01,2025-08-29,일반요금,
R0111,2박3일,싱글차지,그랜드 파이어니스,오션스위트 트리플,#NUM!,2025-05-01,2025-08-29,일반요금,
R0112,2박3일,싱글차지,그랜드 파이어니스,오션스위트 트리플,#NUM!,2025-05-01,2025-08-29,베트남동,
R0113,2박3일,아동,그랜드 파이어니스,오션스위트,"5,850,000",2025-05-01,2025-08-29,베트남동,
R0114,2박3일,아동,그랜드 파이어니스,오션발코니 스위트,"5,850,000",2025-05-01,2025-08-29,베트남동,
R0115,2박3일,아동,그랜드 파이어니스,오션스위트 트리플,"5,850,000",2025-05-01,2025-08-29,베트남동,
R0116,2박3일,아동,그랜드 파이어니스,베란다 스위트,"5,850,000",2025-05-01,2025-08-29,베트남동,
R0117,2박3일,아동,그랜드 파이어니스,이그제큐티브 스위트,"5,850,000",2025-05-01,2025-08-29,베트남동,
R0118,2박3일,아동,그랜드 파이어니스,더 에센스 스위트,"5,850,000",2025-05-01,2025-08-29,베트남동,
R0119,2박3일,아동,그랜드 파이어니스,펄 스위트,"5,850,000",2025-05-01,2025-08-29,베트남동,
R0120,2박3일,아동,그랜드 파이어니스,오션스위트,"6,100,000",2025-05-01,2025-08-29,일반요금,
R0121,2박3일,아동,그랜드 파이어니스,오션발코니 스위트,"6,100,000",2025-05-01,2025-08-29,일반요금,
R0122,2박3일,아동,그랜드 파이어니스,오션스위트 트리플,"6,100,000",2025-05-01,2025-08-29,일반요금,
R0123,2박3일,아동,그랜드 파이어니스,베란다 스위트,"6,100,000",2025-05-01,2025-08-29,일반요금,
R0124,2박3일,아동,그랜드 파이어니스,이그제큐티브 스위트,"6,100,000",2025-05-01,2025-08-29,일반요금,
R0125,2박3일,아동,그랜드 파이어니스,더 에센스 스위트,"6,100,000",2025-05-01,2025-08-29,일반요금,
R0126,2박3일,아동,그랜드 파이어니스,펄 스위트,"6,100,000",2025-05-01,2025-08-29,일반요금,
R0127,2박3일,아동,그랜드 파이어니스,더 시그니쳐 스위트,불가,2025-05-01,2025-08-29,일반요금,
R0128,2박3일,아동,그랜드 파이어니스,더 시그니쳐 스위트,불가,2025-05-01,2025-08-29,베트남동,
R0129,2박3일,아동,그랜드 파이어니스,더 프레지던트 스위트,불가,2025-05-01,2025-08-29,일반요금,
R0130,2박3일,아동,그랜드 파이어니스,더 프레지던트 스위트,불가,2025-05-01,2025-08-29,베트남동,
R0131,2박3일,엑스트라 성인,그랜드 파이어니스,오션스위트,"8,600,000",2025-05-01,2025-08-29,베트남동,
R0132,2박3일,엑스트라 성인,그랜드 파이어니스,오션발코니 스위트,"8,600,000",2025-05-01,2025-08-29,베트남동,
R0133,2박3일,엑스트라 성인,그랜드 파이어니스,오션스위트,"8,900,000",2025-05-01,2025-08-29,일반요금,
R0134,2박3일,엑스트라 성인,그랜드 파이어니스,오션발코니 스위트,"8,900,000",2025-05-01,2025-08-29,일반요금,
R0135,2박3일,엑스트라 성인,그랜드 파이어니스,베란다 스위트,"10,200,000",2025-05-01,2025-08-29,베트남동,
R0136,2박3일,엑스트라 성인,그랜드 파이어니스,베란다 스위트,"10,500,000",2025-05-01,2025-08-29,일반요금,
R0137,2박3일,엑스트라 성인,그랜드 파이어니스,이그제큐티브 스위트,"11,200,000",2025-05-01,2025-08-29,베트남동,
R0138,2박3일,엑스트라 성인,그랜드 파이어니스,이그제큐티브 스위트,"11,500,000",2025-05-01,2025-08-29,일반요금,
R0139,2박3일,엑스트라 성인,그랜드 파이어니스,펄 스위트,"16,900,000",2025-05-01,2025-08-29,베트남동,
R0140,2박3일,엑스트라 성인,그랜드 파이어니스,펄 스위트,"17,350,000",2025-05-01,2025-08-29,일반요금,
R0141,2박3일,엑스트라 성인,그랜드 파이어니스,오션스위트 트리플,불가,2025-05-01,2025-08-29,일반요금,
R0142,2박3일,엑스트라 성인,그랜드 파이어니스,오션스위트 트리플,불가,2025-05-01,2025-08-29,베트남동,
R0143,2박3일,엑스트라 성인,그랜드 파이어니스,더 에센스 스위트,불가,2025-05-01,2025-08-29,일반요금,
R0144,2박3일,엑스트라 성인,그랜드 파이어니스,더 에센스 스위트,불가,2025-05-01,2025-08-29,베트남동,
R0145,2박3일,엑스트라 성인,그랜드 파이어니스,더 시그니쳐 스위트,불가,2025-05-01,2025-08-29,일반요금,
R0146,2박3일,엑스트라 성인,그랜드 파이어니스,더 시그니쳐 스위트,불가,2025-05-01,2025-08-29,베트남동,
R0147,2박3일,엑스트라 성인,그랜드 파이어니스,더 프레지던트 스위트,불가,2025-05-01,2025-08-29,일반요금,
R0148,2박3일,엑스트라 성인,그랜드 파이어니스,더 프레지던트 스위트,불가,2025-05-01,2025-08-29,베트남동,
R0149,2박3일,엑스트라 아동,그랜드 파이어니스,오션스위트,"8,200,000",2025-05-01,2025-08-29,베트남동,
R0150,2박3일,엑스트라 아동,그랜드 파이어니스,오션발코니 스위트,"8,200,000",2025-05-01,2025-08-29,베트남동,
R0151,2박3일,엑스트라 아동,그랜드 파이어니스,베란다 스위트,"8,200,000",2025-05-01,2025-08-29,베트남동,
R0152,2박3일,엑스트라 아동,그랜드 파이어니스,이그제큐티브 스위트,"8,200,000",2025-05-01,2025-08-29,베트남동,
R0153,2박3일,엑스트라 아동,그랜드 파이어니스,펄 스위트,"8,200,000",2025-05-01,2025-08-29,베트남동,
R0154,2박3일,엑스트라 아동,그랜드 파이어니스,오션스위트,"8,500,000",2025-05-01,2025-08-29,일반요금,
R0155,2박3일,엑스트라 아동,그랜드 파이어니스,오션발코니 스위트,"8,500,000",2025-05-01,2025-08-29,일반요금,
R0156,2박3일,엑스트라 아동,그랜드 파이어니스,베란다 스위트,"8,500,000",2025-05-01,2025-08-29,일반요금,
R0157,2박3일,엑스트라 아동,그랜드 파이어니스,이그제큐티브 스위트,"8,500,000",2025-05-01,2025-08-29,일반요금,
R0158,2박3일,엑스트라 아동,그랜드 파이어니스,펄 스위트,"8,500,000",2025-05-01,2025-08-29,일반요금,
R0159,2박3일,엑스트라 아동,그랜드 파이어니스,오션스위트 트리플,불가,2025-05-01,2025-08-29,일반요금,
R0160,2박3일,엑스트라 아동,그랜드 파이어니스,오션스위트 트리플,불가,2025-05-01,2025-08-29,베트남동,
R0161,2박3일,엑스트라 아동,그랜드 파이어니스,더 에센스 스위트,불가,2025-05-01,2025-08-29,일반요금,
R0162,2박3일,엑스트라 아동,그랜드 파이어니스,더 에센스 스위트,불가,2025-05-01,2025-08-29,베트남동,
R0163,2박3일,엑스트라 아동,그랜드 파이어니스,더 시그니쳐 스위트,불가,2025-05-01,2025-08-29,일반요금,
R0164,2박3일,엑스트라 아동,그랜드 파이어니스,더 시그니쳐 스위트,불가,2025-05-01,2025-08-29,베트남동,
R0165,2박3일,엑스트라 아동,그랜드 파이어니스,더 프레지던트 스위트,불가,2025-05-01,2025-08-29,일반요금,
R0166,2박3일,엑스트라 아동,그랜드 파이어니스,더 프레지던트 스위트,불가,2025-05-01,2025-08-29,베트남동,
R0167,1박2일,성인,그랜드 파이어니스,오션발코니 스위트,"5,000,000",2025-08-30,2025-09-01,베트남동,
R0168,1박2일,성인,그랜드 파이어니스,오션발코니 스위트,"5,150,000",2025-08-30,2025-09-01,신용카드,
R0169,1박2일,성인,그랜드 파이어니스,오션스위트룸,"5,950,000",2025-08-30,2025-09-01,베트남동,
R0170,1박2일,성인,그랜드 파이어니스,오션스위트 트리플룸,"5,950,000",2025-08-30,2025-09-01,베트남동,
R0171,1박2일,성인,그랜드 파이어니스,오션스위트룸,"6,150,000",2025-08-30,2025-09-01,신용카드,
R0172,1박2일,성인,그랜드 파이어니스,오션스위트 트리플룸,"6,150,000",2025-08-30,2025-09-01,신용카드,
R0173,1박2일,성인,그랜드 파이어니스,베란다 스위트,"6,750,000",2025-08-30,2025-09-01,베트남동,
R0174,1박2일,성인,그랜드 파이어니스,베란다 스위트,"6,950,000",2025-08-30,2025-09-01,신용카드,
R0175,1박2일,성인,그랜드 파이어니스,이그제큐티브 스위트,"7,550,000",2025-08-30,2025-09-01,베트남동,
R0176,1박2일,성인,그랜드 파이어니스,이그제큐티브 스위트,"7,850,000",2025-08-30,2025-09-01,신용카드,
R0177,1박2일,성인,그랜드 파이어니스,더 에센스 스위트,"9,350,000",2025-08-30,2025-09-01,베트남동,
R0178,1박2일,성인,그랜드 파이어니스,더 에센스 스위트,"9,750,000",2025-08-30,2025-09-01,신용카드,
R0179,1박2일,성인,그랜드 파이어니스,더 오너스 스위트 (4인),"13,750,000",2025-08-30,2025-09-01,베트남동,
R0180,1박2일,성인,그랜드 파이어니스,더 오셔니아 스위트,"14,450,000",2025-08-30,2025-09-01,베트남동,
R0181,1박2일,성인,그랜드 파이어니스,더 오너스 스위트 (4인),"14,550,000",2025-08-30,2025-09-01,신용카드,
R0182,1박2일,성인,그랜드 파이어니스,더 오셔니아 스위트,"15,050,000",2025-08-30,2025-09-01,신용카드,
R0183,1박2일,성인,그랜드 파이어니스,더 오너스 스위트 (3인),"16,750,000",2025-08-30,2025-09-01,신용카드,
R0184,1박2일,성인,그랜드 파이어니스,더 오너스 스위트 (2인),"21,400,000",2025-08-30,2025-09-01,베트남동,
R0185,1박2일,성인,그랜드 파이어니스,더 오너스 스위트 (2인),"22,050,000",2025-08-30,2025-09-01,신용카드,
R0186,1박2일,싱글차지,그랜드 파이어니스,오션스위트룸,"8,150,000",2025-08-30,2025-09-01,베트남동,
R0187,1박2일,싱글차지,그랜드 파이어니스,오션발코니 스위트,"8,150,000",2025-08-30,2025-09-01,베트남동,
R0188,1박2일,싱글차지,그랜드 파이어니스,오션스위트룸,"8,650,000",2025-08-30,2025-09-01,신용카드,
R0189,1박2일,싱글차지,그랜드 파이어니스,오션발코니 스위트,"8,650,000",2025-08-30,2025-09-01,신용카드,
R0190,1박2일,싱글차지,그랜드 파이어니스,베란다 스위트,"9,350,000",2025-08-30,2025-09-01,베트남동,
R0191,1박2일,싱글차지,그랜드 파이어니스,베란다 스위트,"9,850,000",2025-08-30,2025-09-01,신용카드,
R0192,1박2일,싱글차지,그랜드 파이어니스,이그제큐티브 스위트,"10,150,000",2025-08-30,2025-09-01,베트남동,
R0193,1박2일,싱글차지,그랜드 파이어니스,이그제큐티브 스위트,"10,650,000",2025-08-30,2025-09-01,신용카드,
R0194,1박2일,싱글차지,그랜드 파이어니스,더 에센스 스위트,"13,250,000",2025-08-30,2025-09-01,베트남동,
R0195,1박2일,싱글차지,그랜드 파이어니스,더 에센스 스위트,"13,850,000",2025-08-30,2025-09-01,신용카드,
R0196,1박2일,싱글차지,그랜드 파이어니스,더 오셔니아 스위트,"21,250,000",2025-08-30,2025-09-01,베트남동,
R0197,1박2일,싱글차지,그랜드 파이어니스,더 오셔니아 스위트,"21,750,000",2025-08-30,2025-09-01,신용카드,
R0198,1박2일,싱글차지,그랜드 파이어니스,오션스위트 트리플룸,불가,2025-08-30,2025-09-01,신용카드,
R0199,1박2일,싱글차지,그랜드 파이어니스,더 오너스 스위트 (2인),불가,2025-08-30,2025-09-01,신용카드,
R0200,1박2일,싱글차지,그랜드 파이어니스,더 오너스 스위트 (3인),불가,2025-08-30,2025-09-01,신용카드,
R0201,1박2일,싱글차지,그랜드 파이어니스,더 오너스 스위트 (4인),불가,2025-08-30,2025-09-01,신용카드,
R0202,1박2일,싱글차지,그랜드 파이어니스,오션스위트 트리플룸,불가,2025-08-30,2025-09-01,베트남동,
R0203,1박2일,싱글차지,그랜드 파이어니스,더 오너스 스위트 (2인),불가,2025-08-30,2025-09-01,베트남동,
R0204,1박2일,싱글차지,그랜드 파이어니스,더 오너스 스위트 (4인),불가,2025-08-30,2025-09-01,베트남동,
R0205,1박2일,아동,그랜드 파이어니스,오션스위트룸,"3,950,000",2025-08-30,2025-09-01,베트남동,
R0206,1박2일,아동,그랜드 파이어니스,오션스위트 트리플룸,"3,950,000",2025-08-30,2025-09-01,베트남동,
R0207,1박2일,아동,그랜드 파이어니스,오션발코니 스위트,"3,950,000",2025-08-30,2025-09-01,베트남동,
R0208,1박2일,아동,그랜드 파이어니스,베란다 스위트,"3,950,000",2025-08-30,2025-09-01,베트남동,
R0209,1박2일,아동,그랜드 파이어니스,이그제큐티브 스위트,"3,950,000",2025-08-30,2025-09-01,베트남동,
R0210,1박2일,아동,그랜드 파이어니스,더 에센스 스위트,"3,950,000",2025-08-30,2025-09-01,베트남동,
R0211,1박2일,아동,그랜드 파이어니스,더 오셔니아 스위트,"3,950,000",2025-08-30,2025-09-01,베트남동,
R0212,1박2일,아동,그랜드 파이어니스,오션스위트룸,"4,050,000",2025-08-30,2025-09-01,신용카드,
R0213,1박2일,아동,그랜드 파이어니스,오션스위트 트리플룸,"4,050,000",2025-08-30,2025-09-01,신용카드,
R0214,1박2일,아동,그랜드 파이어니스,오션발코니 스위트,"4,050,000",2025-08-30,2025-09-01,신용카드,
R0215,1박2일,아동,그랜드 파이어니스,베란다 스위트,"4,050,000",2025-08-30,2025-09-01,신용카드,
R0216,1박2일,아동,그랜드 파이어니스,이그제큐티브 스위트,"4,050,000",2025-08-30,2025-09-01,신용카드,
R0217,1박2일,아동,그랜드 파이어니스,더 에센스 스위트,"4,050,000",2025-08-30,2025-09-01,신용카드,
R0218,1박2일,아동,그랜드 파이어니스,더 오셔니아 스위트,"4,050,000",2025-08-30,2025-09-01,신용카드,
R0219,1박2일,아동,그랜드 파이어니스,더 오너스 스위트 (4인),"13,750,000",2025-08-30,2025-09-01,베트남동,
R0220,1박2일,아동,그랜드 파이어니스,더 오너스 스위트 (4인),"14,550,000",2025-08-30,2025-09-01,신용카드,
R0221,1박2일,아동,그랜드 파이어니스,더 오너스 스위트 (3인),"16,750,000",2025-08-30,2025-09-01,신용카드,
R0222,1박2일,아동,그랜드 파이어니스,더 오너스 스위트 (2인),"21,400,000",2025-08-30,2025-09-01,베트남동,
R0223,1박2일,아동,그랜드 파이어니스,더 오너스 스위트 (2인),"22,050,000",2025-08-30,2025-09-01,신용카드,
R0224,1박2일,엑스트라,그랜드 파이어니스,오션스위트룸,"5,000,000",2025-08-30,2025-09-01,베트남동,
R0225,1박2일,엑스트라,그랜드 파이어니스,오션발코니 스위트,"5,000,000",2025-08-30,2025-09-01,베트남동,
